nombre_farmacia,calle,numero,colonia,ciudad,codigo_postal,latitud,longitud
GUADALAJARA 8,GUADALAJARA,1543,SANTA MARGARITA,GUADALAJARA,45140,20.73044,-103.4036
GUADALAJARA 80,GUADALAJARA,2500,BOSQUES DE LA VICTORIA,GUADALAJARA,44540,20.64704,-103.3862
GUADALAJARA 81,GUADALAJARA,40,TLAQUEPAQUE CENTRO,GUADALAJARA,45500,20.63988,-103.3114
GUADALAJARA 82,GUADALAJARA,163,PRADOS VALLARTA,GUADALAJARA,45020,20.67369,-103.4165
GUADALAJARA 83,GUADALAJARA,3838 Y3834,BALCONES DE SANTA MARIA,GUADALAJARA,45530,20.6121,-103.3948
GUADALAJARA 84,GUADALAJARA,1536,SANTA TERESITA,GUADALAJARA,44600,20.6843,-103.3691
GUADALAJARA 85,GUADALAJARA,3750,SAN JOAQUIN,GUADALAJARA,44770,20.67034,-103.2793
GUADALAJARA 86,GUADALAJARA,587,VILLA LA,GUADALAJARA,45100,20.72826,-103.3907
GUADALAJARA 87,ZAPOPAN,2765,FRACCIONAMIENTO MISION LA FLORESTA,ZAPOPAN,45066,20.62678,-103.4659
GUADALAJARA 88,ZAPOPAN,413,NUEVO MEXICO,ZAPOPAN,45138,20.76601,-103.4467
GUADALAJARA 89,TLAJOMULCO DE ZUÑIGA,1518,NUEVA GALICIA,TLAJOMULCO DE ZUÑIGA,45645,20.5752,-103.4418
GUADALAJARA 9,GUADALAJARA,422,LA PERLA,GUADALAJARA,44360,20.68158,-103.3381
GUADALAJARA 90,GUADALAJARA,1014,LA CIMA,GUADALAJARA,45134,20.75323,-103.4117
GUADALAJARA 91,GUADALAJARA,2718,JARDINES DEL BOSQUE CENTRO,GUADALAJARA,44520,20.66694,-103.3849
GUADALAJARA 92,GUADALAJARA,L-50,TIERRA RESIDENCIAL,GUADALAJARA,45200,20.80117,-103.47
GUADALAJARA 93,GUADALAJARA,1469,LOMAS DEL COUNTRY,GUADALAJARA,44610,20.7048,-103.3647
GUADALAJARA 94,GUADALAJARA,303,SANTA MARGARITA,GUADALAJARA,45140,20.7305,-103.4164
GUADALAJARA 95,TLAQUEPAQUE,248,TLAQUEPAQUE CENTRO,TLAQUEPAQUE,45500,20.63852,-103.3148
GUADALAJARA 96,GUADALAJARA,3187,OBLATOS,GUADALAJARA,44700,20.70283,-103.2837
GUADALAJARA 97,TLAQUEPAQUE,1319,LAS HUERTAS,TLAQUEPAQUE,45589,20.61401,-103.3036
GUADALAJARA 98,TLAQUEPAQUE,96,LOS ALTOS,TLAQUEPAQUE,45520,20.63838,-103.3003
GUADALAJARA 99,GUADALAJARA,586,LA GRANA,GUADALAJARA,45180,20.74603,-103.3853
GUSTAVO BAZ,NAUCALPAN,253,HACIENDA DE ECHEGARAY,NAUCALPAN,53300,19.49494,-99.22725
HACIENDA MARGARITAS,MONTERREY,560,HACIENDA LAS MARGARITAS IV,MONTERREY,66647,25.70989,-100.1578
HAMBURGO 1,CIUDAD DE MEXICO,206,JUAREZ,CIUDAD DE MEXICO,06600,19.42432,-99.16865
"HIDALGOTITLAN, VER",HIDALGOTITLAN,S/N,HIDALGOTITLAN,HIDALGOTITLAN,96930,17.77256,-94.64722
HIPODROMO 1,CIUDAD DE MEXICO,236,HIPODROMO,CIUDAD DE MEXICO,06100,19.40681,-99.17873
HUATUSCO,HUATUSCO,413,CENTRO,HUATUSCO,94100,19.15128,-96.96515
HUATUSCO 2,HUATUSCO,S/N,CENTRO,HUATUSCO,94100,19.1502,-96.96268
HUATUSCO 3,HUATUSCO,S/N,ZONA CENTRO,HUATUSCO,94100,19.14781,-96.96797
HUATUSCO 4,HUATUSCO,4,RESERVA TERRITORIAL,HUATUSCO,94106,19.14161,-96.97579
"HUEHUETAN 2, CHIAPAS",HUEHUETAN,6,BARRIO SANTO DOMINGO,HUEHUETAN,30660,15.01916,-92.38438
HUEHUETAN CHIAPAS,HUEHUETAN,S/N,HUEHUETAN,HUEHUETAN,30670,15.0111,-92.40388
"HUEJUQUILLA 1, JAL.",HUEJUQUILLA EL ALTO,8,HUEJUQUILLA EL ALTO CENTRO,HUEJUQUILLA EL ALTO,46000,22.62782,-103.8978
HUETAMO 4,HUETAMO,34,HUETAMO DE NUÑEZ CENTRO,HUETAMO,61940,18.6275,-100.8972
HUIXTLA 1,HUIXTLA,8,CENTRO,HUIXTLA,30640,15.13763,-92.46322
HUIXTLA 2,HUIXTLA,11,CENTRO,HUIXTLA,30640,15.13871,-92.46568
HUIXTLA 3,HUIXTLA,57,CENTRO,HUIXTLA,30640,15.1431,-92.4633
HUIXTLA 5,HUIXTLA,S/N,HUIXTLA CENTRO,HUIXTLA,30640,15.13888,-92.46469
INDEPENDENCIA,CIUDAD DE MEXICO,44,INDEPENDENCIA,CIUDAD DE MEXICO,03630,19.37814,-99.14242
INSURGENTES 2,CIUDAD DE MEXICO,6,ROMA NORTE,CIUDAD DE MEXICO,06700,19.42153,-99.16377
INSURGENTES 3,CIUDAD DE MEXICO,402,ROMA SUR,CIUDAD DE MEXICO,06760,19.40883,-99.16742
INSURGENTES 4,CIUDAD DE MEXICO,2375,BARRIO LORETO,CIUDAD DE MEXICO,01090,19.34181,-99.18996
INSURGENTES 5,CIUDAD DE MEXICO,163,ROMA,CIUDAD DE MEXICO,06700,19.42245,-99.16257
INSURGENTES 6,CIUDAD DE MEXICO,520,ROMA SUR,CIUDAD DE MEXICO,06760,19.40244,-99.16948
INSURGENTES 7,CIUDAD DE MEXICO,1210,CAPULTITLAN,CIUDAD DE MEXICO,07370,19.47665,-99.13345
INSURGENTES 8,CIUDAD DE MEXICO,327,HIPODROMO,CIUDAD DE MEXICO,06100,19.41311,-99.16637
INSURGENTES 9,CIUDAD DE MEXICO,275,ROMA NORTE,CIUDAD DE MEXICO,06700,19.41625,-99.16534
IRAPUATO 1,IRAPUATO,79,ZONA CENTRO,IRAPUATO,36500,20.67309,-101.3445
IRAPUATO 10,IRAPUATO,331Y331-B,IRAPUATO CENTRO,IRAPUATO,36500,20.6758,-101.3459
IRAPUATO 12,IRAPUATO,96 Y 104,IRAPUATO CENTRO,IRAPUATO,36500,20.6731,-101.348
IRAPUATO 14,IRAPUATO,761,FLORESTA,IRAPUATO,36584,20.64436,-101.3378
IRAPUATO 15,IRAPUATO,12100,UNIDAD HABITACIONAL LABORATORIO C.F.E.,IRAPUATO,36631,20.69793,-101.3438
IRAPUATO 16,IRAPUATO,311,PURISIMA DEL JARDIN,IRAPUATO,36555,20.64322,-101.3859
IRAPUATO 17,IRAPUATO,242,LOS REYES,IRAPUATO,36570,20.66242,-101.3514
IRAPUATO 18,IRAPUATO,918,INSURGENTES,IRAPUATO,36583,20.66573,-101.3372
IRAPUATO 19,IRAPUATO,326-B,ALVARO OBREGON,IRAPUATO,36530,20.67343,-101.3595
IRAPUATO 2,IRAPUATO,615,CENTRO,IRAPUATO,36500,20.67769,-101.3496
IRAPUATO 3,IRAPUATO,1314,SOLIDARIDAD,IRAPUATO,36570,20.65946,-101.3501
IRAPUATO 4,IRAPUATO,1710,MIGUEL HIDALGO,IRAPUATO,36550,20.67276,-101.3645
IRAPUATO 5,IRAPUATO,MZ4 LT1A4,INDEPENDENCIA,IRAPUATO,36559,20.676,-101.3418
ISLA 1,ISLA,S/N,CENTRO,ISLA,95640,18.02513,-95.5302
ISLA 2,ISLA,599,ISLA CENTRO,ISLA,95640,18.03085,-95.52974
ISLA 3,ISLA,S/N,ISLA CENTRO,ISLA,95640,18.03025,-95.52429
IXTAPALUCA 1,IXTAPALUCA,MZ 8,LOS HEROES,IXTAPALUCA,56585,19.32496,-98.87498
IXTAPALUCA 2,IXTAPALUCA,MZ 8 LT 10,SANTA BARBARA,IXTAPALUCA,56538,19.30062,-98.8964
IXTAPALUCA 6,IXTAPALUCA,MZ 136,LOMA BONITA AMPLIACION,IXTAPALUCA,56563,19.31013,-98.91994
IXTAPALUCA 8,IXTAPALUCA,5503,TLALPIZAHUAC CENTRO,IXTAPALUCA,56576,19.32733,-98.94692
IZAZAGA,CIUDAD DE MEXICO,75,CENTRO,CIUDAD DE MEXICO,06080,19.42619,-99.13769
IZTACALCO 2,CIUDAD DE MEXICO,227,AGRICOLA ORIENTAL,CIUDAD DE MEXICO,08500,19.39523,-99.07623
IZTACALCO 3,CIUDAD DE MEXICO,3,INFONAVIT IZTACALCO,CIUDAD DE MEXICO,08900,19.3836,-99.10693
